text,label,id
"I gave this a 2, and it only avoided a 1 because of the occasional unintentional laugh. The film is excruciatingly boring, and incredibly cheap. It's even worse if you know anything at all about the Fantastic Four.",negative,96
"On seeing this movie, I didn't expect much. I was delightfully surprised. Although the writing was unpolished, as some of the dialog seemed drawn-out and contrived, the script did have shining moments. (My favorite line, ""Life is like a rich meringue, an-and I'm diabetic, so I can't enjoy it..."".) The plot was new and refreshing as opposed to some of the newer more ""main-stream"" horror that most of us are (sadly) growing used to. I do believe some of the scenes could (should) have been longer (and maybe some shorter). The superfluous use of blood was campy but seemed to make sense in the end....Ah, the end. The end would have been a little better if they had explained why what happened, happened. (I don't wanna spoil it.) It might have also added to the movie time, which is in the area of ""it's only an hour long, how good could it be?"" Answer- Quite good.",positive,29
"A handful of critics have awarded this film with positive comments. I don't wish to argue with their opinion, but I strongly disagree. When I first watched this film I was mildly impressed. But after comparing it with other films, particularly with the late master, Bruce Lee I quickly changed my mind. In fact, if it wasn't for the title of the film, I would never have bought it. Game of Death 2 doesn't relate to the original Game of Death, (except it shares one character, Billy Lo.)<br /><br />I was stunned to see how similar Game of Death 2 was compared to Enter the Dragon. The plots have striking similarities: Both Bruce Lee and Bobby Lo are on a mission to avenge a relative. The two locations are similar, in which they both are very isolated and are surrounded by thousands of Blackbelts. There is an element of prostitution in both films (women are sent two the guests rooms in both films.) Both Han (Enter the Dragon) and Lewis's henchman have a hand missing. Their is an underground drug operation in Enter the Dragon, believe it or not, there is one in Game of Death 2. Han has a pet cat in Enter the Dragon, the director has used his imagination and awarded Lewis with a pet monkey! The list continues. <br /><br />Regarding other aspects of the film, such as the script and the acting, I felt it was very poor. It seemed to me that the director was looking for a group of martial artists to star in the film and prayed they could act. <br /><br />On a positive scale, I cannot deny that the choreography is impressive. Although the fighting sequences have strong elements of acrobatics in them, they are none the less skillfully performed. However, as the plot is insufficient, i couldn't relate to the characters, therefore the fighting sequences were more exhibitions rather than having a meaning to the film. <br /><br />In conclusion I would say this film is recommendable to any martial-arts fans, but for those who enjoy a solid action film, with a good storyline and strong characters, I seriously wouldn't recommend this film. My opinions towards this film may seem very bias and one-sided, but when Bruce Lee set a new standard in the martial arts cinema, particularly after his masterpiece: Enter the Dragon, this film failed to rise to these standards. If anything they imitated a truly brilliant martial-arts film, in hope of achieving the same level of fame. <br /><br />In reference to my evaluation, awarding this film a very harsh 1 out of 10, the film is barley watchable, and must be thankful that it had the fighting sequences it did.",negative,327
"As the superb `Prime Suspect' series reaches part four there is no loss of momentum at all, this in itself a considerable achievement.' Prime Suspect IV: The Lost Child' has the solid supporting cast that we take for granted in these British dramas but of course the beautiful Helen Mirren easily dominates; our eyes never leave her while she's on-screen.<br /><br />The search for the lost child of the title leads Superintendent Jane Tennison's CID team to a prime suspect who turns out to be a convicted pedophile now living with a single mother and her two young daughters. The insight we are given into the workings of his mind is one of the emotional highlights of this mini-series but it may be too strong for many stomachs.<br /><br />The action sequences are brilliantly handled with the hand-held camera thrusting us right into the middle of the excitement and there's gripping tension during the climactic siege.<br /><br />Altogether this is another magnificent police procedural drama.",positive,712
"I did not see this film in the theater. I confess to an anti-Vinnie Barbarino bias. Who the hell was John Travolta to be making movies? I remember the Oscar broadcast that year, with Travolta looking absolutely devastated when he didn't win. How dare he, when there were ""real"" actors in the running? I'm sorry John, you should have won. After catching this film on cable years ago, I fell in love with the entire movie. Bud, Sissy, Uncle Bob, Wes, all wonderfully done. I, also, confess to never passing it by when I channel surf. I HAVE to stop and watch. Over the years, I've learned to do most of the dialogue, dance with my thumbs in my waistband, and learned to appreciate Travolta more. The only disappointing thing to me was the oversight, on the soundtrack, of some of the music from Urban Cowboy. ""Looking for love"" defines the film, but Urban Cowboy was chock full of classics that DIDN'T make it to the soundtrack. It should have been a double CD........",positive,455
"If this could be rated a 0, it would be. From the atrocious wooden acting to the dull, plodding pace, the puerile exploitation angle and the sophomoric pseudolesbian titillation added purely for the sake of the sad viewers, this is a disaster of a film.<br /><br />The plot is predictable, as from the beginning one is absolutely certain of what will happen to all of the characters and how the plot will commence. From a boring, unexceptional beginning to a pathetic and bleak ending, every single presence in this film is wasted, and every meagre scrap of talent dug up for this turkey is squandered.<br /><br />If you want to watch something as relentlessly bleak with plenty of the same childish titillation, watch one of the Ilsa films. At least they're unapologetic and up-front about what they're trying to do. How something this horrendously bad ever managed to be rated above a 5 is a miracle of how people with no taste or discerning standards can sometimes come together for the most dubious of purposes.<br /><br />It's not scary, it's not interesting, and above all it's not arousing in any sense of the word. It is, in my opinion, a crime; it is a crime that such a horribly offensive and incompetent piece of trash was ever conceived of and given the resources to come into existence, and even more a tragedy that it is still defended by some woefully misguided viewers.<br /><br />Not even Elvira's cheerful personality and joking ways could soften the blow that this horrifying travesty of film is. Avoid it at all costs.",negative,941
"I have waited for ages to comment on this programme, and felt it was about time some justice was done to it. This is one of Christie's darker, more sinister and engaging works, not simply someone being killed for money, this is a dark and thoroughly engaging tale of mystery, intrigue, love and murder, made all the better by the amendments made by the adaptor. The level of acting is utterly superb, Joan Hickson is sublime in the part, as always! The rest of the cast, including the likes of Liz Fraser, Anna Cropper and Helen Cherry all perform beautifully, but it's my opinion that the show is stolen by Margaret Tyzack, the closing scene between her and Joan Hickson is simply magical, the acting is as good as it gets, chilling, moving and totally brilliant.<br /><br />Please let me know if you agree with my words. I am seriously looking forward to the remake to see how well Geraldine McEwan's version is. Watch and enjoy.",positive,207
"This movie is flawed on many fronts. Like many before it, it portrays more of the mythology of the Alamo than the history. The production is poor, overall giving the impression of a welfare project for lots of actors who might have otherwise had to work on Hollywood Squares. This to me was the greatest flaw - I know the ages and general personalities of the real Alamo protagonists and the geriatric ensemble of TV actors chosen to portray them never let any hint of believability intrude.<br /><br />As a native Texan, I grew up with the mythology. I later learned more about the history. I can accept a decent production from either perspective (although I prefer more historical accuracy), but this never gave me a chance to enjoy it. Even John Wayne's or Fess Parker's versions had more life than this stolid mess, while being only slightly less accurate.<br /><br />Very disappointing - avoid it.",negative,562
"The Japanese ""Run Lola Run,"" his is one offbeat movie which will put a smile on just about anyone's face. Fans of Run Lola Run, Tampopo, Go!, and Slacker will probably like this one. It does tend to follow a formula that is increasingly popular these days of separate, seemingly unrelated vignettes, all contributing the the overall story in unexpected ways. catch it if you see it, otherwise wait for the rental.",positive,77
"I've seen a lot of Seagal movies, and while most aren't great, or even good, this steamy pile lowered the bar for bad movies.<br /><br />The plot: not sure really. Something about a drug that makes you all crazy and strong or something. Who are the good guys and bad guys? Hard to tell. Most of the movie is cut scenes going back and forth between people in darkly lit rooms complaining about how good Seagals character ""Mashall"" is.<br /><br />Acting: Blows.<br /><br />Voice Dubbing ,,,,,, What was with the horrible voice overdubbing?! Could they of found anyone who sounded any less like Seagal? May as well had Cheech or Chong doing the voice overs, might of at least been entertaining then.<br /><br />This movie is boring, and completely stupid. Avoid it at all costs!!!!",negative,204
