id,text
988,"question : is this movie good or bad? 
 answer : bad 
 context : i've never been a big larry clark fan, but somehow, i've been dragged to almost every single one of his movies. now, i like independent films, and i grew up very much into punk rock, and i'd like to say that this film is disappointing to both audiences. not every punk song incorporates ""oi!"" into its choruses, as they do in this particular film.  but the real problem with this film is that it switches moods every fifteen minutes or so and lacks any kind of cohesion. clark has made his living pretending that his fictionalized stories are ""how kids really are,"" and as such, you'll allow him ten minute scenes of stupid dialog that go nowhere, because that's the cinema verite feel he's going for. however, when he shoots a ridiculous death scene (pick any of them, save for the opening drive-by), the over-stylized attempts at what i assume is intended to be black humor are completely out of context, ridiculously shot (in most cases, far worse than a student film) and absolutely ludicrous in terms of the story. john cassavettes and ""date movie"" make poor bedfellows, as the forays into the latter style take you out of any kind of reality to remind you that you're watching a movie - a really, really bad one at that. 
"
207,"question : is this movie good or bad? 
 answer : good 
 context : i have waited for ages to comment on this programme, and felt it was about time some justice was done to it. this is one of christie's darker, more sinister and engaging works, not simply someone being killed for money, this is a dark and thoroughly engaging tale of mystery, intrigue, love and murder, made all the better by the amendments made by the adaptor. the level of acting is utterly superb, joan hickson is sublime in the part, as always! the rest of the cast, including the likes of liz fraser, anna cropper and helen cherry all perform beautifully, but it's my opinion that the show is stolen by margaret tyzack, the closing scene between her and joan hickson is simply magical, the acting is as good as it gets, chilling, moving and totally brilliant.  please let me know if you agree with my words. i am seriously looking forward to the remake to see how well geraldine mcewan's version is. watch and enjoy. 
"
562,"question : is this movie good or bad? 
 answer : bad 
 context : this movie is flawed on many fronts. like many before it, it portrays more of the mythology of the alamo than the history. the production is poor, overall giving the impression of a welfare project for lots of actors who might have otherwise had to work on hollywood squares. this to me was the greatest flaw - i know the ages and general personalities of the real alamo protagonists and the geriatric ensemble of tv actors chosen to portray them never let any hint of believability intrude.  as a native texan, i grew up with the mythology. i later learned more about the history. i can accept a decent production from either perspective (although i prefer more historical accuracy), but this never gave me a chance to enjoy it. even john wayne's or fess parker's versions had more life than this stolid mess, while being only slightly less accurate.  very disappointing - avoid it. 
"
455,"question : is this movie good or bad? 
 answer : good 
 context : i did not see this film in the theater. i confess to an anti-vinnie barbarino bias. who the hell was john travolta to be making movies? i remember the oscar broadcast that year, with travolta looking absolutely devastated when he didn't win. how dare he, when there were ""real"" actors in the running? i'm sorry john, you should have won. after catching this film on cable years ago, i fell in love with the entire movie. bud, sissy, uncle bob, wes, all wonderfully done. i, also, confess to never passing it by when i channel surf. i have to stop and watch. over the years, i've learned to do most of the dialogue, dance with my thumbs in my waistband, and learned to appreciate travolta more. the only disappointing thing to me was the oversight, on the soundtrack, of some of the music from urban cowboy. ""looking for love"" defines the film, but urban cowboy was chock full of classics that didn't make it to the soundtrack. it should have been a double cd........ 
"
712,"question : is this movie good or bad? 
 answer : good 
 context : as the superb `prime suspect' series reaches part four there is no loss of momentum at all, this in itself a considerable achievement.' prime suspect iv: the lost child' has the solid supporting cast that we take for granted in these british dramas but of course the beautiful helen mirren easily dominates; our eyes never leave her while she's on-screen.  the search for the lost child of the title leads superintendent jane tennison's cid team to a prime suspect who turns out to be a convicted pedophile now living with a single mother and her two young daughters. the insight we are given into the workings of his mind is one of the emotional highlights of this mini-series but it may be too strong for many stomachs.  the action sequences are brilliantly handled with the hand-held camera thrusting us right into the middle of the excitement and there's gripping tension during the climactic siege.  altogether this is another magnificent police procedural drama. 
"
199,"question : is this movie good or bad? 
 answer : good 
 context : i can barely even remember what decade i saw this film. it was when i was a teenager, i think (i'm 37 now). i started watching it as a late night movie sometime in the mid to early 80s, and so much of it has stayed with me ever since. seeing other comments, i had no idea it was shown at theatres, or that anyone else even new it existed. i don't think i've even mentioned the movie to anyone else.  but half a lifetime later, i still remember much of the movie that i watched late at night so long ago. i think the innocence of the charactors, their situation, their mutual affection over a long period of time, left a long term imprint for reasons i don't quite understand. maybe it is because i was a teenager at the time i saw it, and it touched me somehow..... i really don't know! i also really wanted to know what was going to happen when the after the end of the film happened. oh, the agony!!  i've not seen it before, or since, but i would love to. i keep a casual look out for it, but i now doubt it will been shown and it seems to have faded into oblivion. but i'd proberbly miss it in the tv guide even if it did show up. pssttt!!!  reading the reviews here has renewed my interest. if anyone knows of its availability in australia, by all means email me and let me know.  oh, and sean bury... nice to see you make an appearance on the comments here. i've had a look at your movie history and noticed your last appearance in a james bond film. what are you up to these day? oh, and do you have a copy of the film? cheers!!! 
"
117,"question : is this movie good or bad? 
 answer : good 
 context : i was expecting this to be the same kind of schlock as the previous modesty blaise movie, which is why i left it unwatched for so long, but i was very pleasantly surprised.  far from being a succession of silly gun battles and car/boat chases, it was an almost thoughtful analysis of how a pretty girl gets to become as hard as nails, with nothing being overstated or over-rationalized.  it's likely that the budgetary constraints actually helped with that: less time and effort was spent on finding ever-stupider ways for stunt men to pretend to die, and more was dedicated to making the movie worth watching. hell, the biggest gun battle takes place off screen -- and the scene where it is heard is all the better for that background noise, that adds to the suspense -- who's winning? who's dying?  alexandra staden might not be as drop-dead gorgeous as monica vitti, but few are, and she certainly has every ounce of class and fire that's needed to make the character work -- and the shape of her face, her hair, and her tall, slender body could have been lifted straight from the comic-strip graphics.  nikolaj coaster-waldau was the perfect choice for a blaise bad-guy, in that he made the character interesting and enjoyable to watch -- even likable (and i doubt i'd consider taking on many brutal, psychopathic murderers as drinking buddies). i can't think of a single one of hollywood's ""former waiters"" who could have pulled the role off that well.  fortunately, blaise baddies always die, in the end (no spoilers there!) that's a really good thing, because all the girls who would have spent their time swooning over such a disgustingly handsome and interesting hunk can now pragmatically settle for us ordinary joes. 
"
29,"question : is this movie good or bad? 
 answer : good 
 context : on seeing this movie, i didn't expect much. i was delightfully surprised. although the writing was unpolished, as some of the dialog seemed drawn-out and contrived, the script did have shining moments. (my favorite line, ""life is like a rich meringue, an-and i'm diabetic, so i can't enjoy it..."".) the plot was new and refreshing as opposed to some of the newer more ""main-stream"" horror that most of us are (sadly) growing used to. i do believe some of the scenes could (should) have been longer (and maybe some shorter). the superfluous use of blood was campy but seemed to make sense in the end....ah, the end. the end would have been a little better if they had explained why what happened, happened. (i don't wanna spoil it.) it might have also added to the movie time, which is in the area of ""it's only an hour long, how good could it be?"" answer- quite good. 
"
96,"question : is this movie good or bad? 
 answer : bad 
 context : i gave this a 2, and it only avoided a 1 because of the occasional unintentional laugh. the film is excruciatingly boring, and incredibly cheap. it's even worse if you know anything at all about the fantastic four. 
"
249,"question : is this movie good or bad? 
 answer : good 
 context : the wind and the lion is well written and superbly acted. it is a tale that exemplifies the american spirit and the american character. this movie is a story from the early 20th century that is strangely relevant to the political landscape of the world in the beginning of the 21st century. it is a true classic. 
"
