label,text,id
sports,"madrid — spain coach vicente del bosque will be watching for carlo ancelotti's next real madrid starting xi with greater interest than usual after the italian opened the la liga campaign with iker casillas on the bench.the 32-year-old goalkeeper, long-standing captain for both club and country, saw diego lopez surprisingly chosen ahead of him at home to real betis on sunday, ancelotti's competitive debut at the helm.casillas was dropped and then suffered a bone fracture in his hand which kept him sidelined for a number of weeks under jose mourinho last season. when he returned from injury, january transfer window signing lopez remained first choice.the fragmentation of support for mourinho among the players, the fans and the media in his final months at the bernabeu were in a large part put down to the decision to keep casillas on the bench. some felt it was personal rather than professional.the arrival of the genial ancelotti has seen an easing of those tensions in and around the club, and many expected casillas to be restored to the number one jersey for the new campaign.""i took this decision for today,"" ancelotti said after real squeaked a 2-1 win over betis .""it's a decision taken on small details. i made it for this game. we'll see what happens in the next one.""i spoke to casillas, he is very professional and he is keen to play.""casillas has been undisputed first-choice keeper for club and country for more than a decade.he was won two european cups and five la liga titles with real, and captained the national team to their trio of consecutive titles at euro 2008 and, and at the world cup finals in. del bosque has always stood by him, and took him to the confederations cup and ecuador for last week's 2-0 friendly win, which may be one explanation for ancelotti's decision.casillas played the first half in guayaquil and barcelona's victor valdes, hardly a poor alternative, the second, but a tougher choice may need to be made for spain's upcoming world cup qualifiers if the madrid man is going to remain benched .spain top group i by a point from france with three games left to play, and they travel to play third-placed finland on september, their last away fixture. the finns held spain to a 1-1 draw back in march.valdes said he was surprised by ancelotti's decision at a news conference on monday.""i have seen iker make saves no one thought possible,"" he said. ""for me, he is the best but i shouldn't say any more because it isn't my team.""lopez has performed well when called upon at real, and is arguably better in the air and with his feet than casillas, but the man he is replacing is a national institution. online polls run by madrid-based sports dailies marca and as both showed a narrow majority of readers wanted to see casillas restored to the number one slot.real's starting xi for next monday's trip to play granada in la liga, a venue in which they suffered a 1-0 defeat last season, will be headline news in spain and could have del bosque rethinking his plans for next year's world cup finals in brazil .",1781
politics,"washington — john o. brennan's first difficult challenge at the c.i.a. may not be confronting the agency's future, but its past.mr. brennan, whose nomination is expected to be eventually approved by the senate, will take charge at the agency where he worked for 25 years just as it faces a sweeping indictment of its now-defunct interrogation program — a blistering, 6,000-page senate study that includes incendiary accusations that agency officials for years systematically misled the white house, the justice department and congress about the so-called enhanced interrogation techniques like waterboarding that were used on qaeda prisoners.by the account of people briefed on the report, it concludes that the program was ill-conceived, sloppily managed and far less useful in obtaining intelligence than its supporters have claimed.""it's a potential minefield for john brennan,"" said mark m. lowenthal, a former assistant c.i.a. director and former house intelligence committee staff director.the still-classified report by the senate intelligence committee will place mr. brennan squarely in the cross-fire between democratic critics of what they call a morally and practically disastrous experiment in torture, and some republican defenders who say the report is biased and fault president obama for banning coercive interrogations. and it could place mr. brennan in a difficult position inside the agency's headquarters in suburban virginia .if he endorses the senate report, he will be criticizing the many c.i.a. officers who worked on the program and challenging the stance of former directors, notably george j. tenet, who oversaw the brutal interrogations, and michael v. hayden, who has fervently defended them.""the career work force will be watching,"" said john a. rizzo, a top agency lawyer for 30 years before retiring in. ""hundreds who were part of the seven-year e.i.t. program — and who still believe it was the right and essential thing to do — are still there,"" he added, referring to enhanced interrogation techniques.the report, according to statements from some senators and descriptions from others who have reviewed it, documents in exhaustive detail how c.i.a. officials and consultants who ran the program gave top bush administration officials, members of congress, the american public and even their own colleagues — possibly including mr. brennan himself — a deeply distorted account of its nature and efficacy. after a bipartisan start in, republican staff members refused to participate in the writing of the report, making the four-year effort largely the work of democratic committee staff members .the agency missed a feb. 15 deadline to complete a review of the report, which has,000 footnotes referring to 6 million documents from c.i.a. files. it now appears likely that the response, offering the committee any factual corrections or broader judgments, will be delayed until mr. brennan's arrival.because mr. obama famously said he preferred to look forward, not back at his predecessor's counterterrorism programs, the senate report is by far the most thorough examination of how the united states came to use nudity, cold, sleep deprivation, stress positions, wall-slamming and waterboarding, methods it had long condemned as abuse or torture.mr. brennan will have to decide whether to support making a redacted version of the interrogation report public, as the committee is likely to support after the c.i.a. completes its review and as a united nations human rights adviser urged this week. several democratic senators and at least one republican, senator john mccain of arizona, who was tortured as a prisoner in north vietnam, have said that a declassified version must be released, and mr. brennan said he would give the request ""serious consideration.""he will have to decide whether to convene what the agency calls an accountability board to recommend punishment for current or former officials accused of mismanaging or misrepresenting the interrogation program . if he tries to keep the peace by dismissing the dispute as history and a distraction from the agency's current challenges, he will face strong resistance from the senate committee's democratic majority and mr. mccain.",1665
science,"for recovering alcoholics, memories associated with drinking — the smell of a bar, ice clinking in a glass — are among the greatest threats to sobriety.but what if retrieval of those memories could be blocked? using a drug typically given to organ-transplant patients, researchers at the university of california, san francisco, reduced the incidence of relapse in rats by disrupting memories linked to past drinking.for several weeks the researchers allowed rats to binge on alcohol. then, after 10 days of abstinence, the rats were exposed to just a drop of alcohol — enough to awaken their memories of drinking. the researchers then used brain scans to identify the neural mechanism responsible for triggering the reactivation of those memories, known as the mtorc1 signaling pathway.rapamycin, a drug known to disrupt the pathway, was then given to some of the rats. those that received it were significantly less likely to consume alcohol.""a single administration of this drug prevented relapse for a period of two weeks,"" said dorit ron, a neuroscientist at the university and an author of the study, which was published in the journal nature neuroscience. just how long the rats might have stayed dry is hard to say, she added, because ""two weeks is when we ended the study.""rapamycin, which is normally used to suppress transplant patients' immune systems, is already approved by the food and drug administration . but more study is required to determine whether it could help people abstain from alcohol, dr. ron said, adding that the drug also has significant side effects, including increased susceptibility to infection.",956
arts,"a dancegoer's options are fairly limited this week: there's ""the nutcracker,"" and then there's ""the nutcracker."" but two of the season's most popular renditions couldn't be more different. at lincoln center, new york city ballet soldiers on in its six-week run of george balanchine's classic version, with its pristine dancing and reverence for childhood fantasy. a darker sort of fantasy is playing out at the minetta lane theater, home to company xiv's burlesque twist on this e. t. a. hoffmann tale.",1463
sports,"philadelphia — six-time pro bowl quarterback donovan mcnabb will officially retire a member of the philadelphia eagles on monday. mcnabb played 11 of his 13 seasons with the eagles, leading them to eight playoff appearances, five nfc east titles, five conference championship games and one super bowl loss.the 36-year-old mcnabb hasn't played in the nfl since. he was traded to washington in, started 13 games for the redskins that season and six for minnesota the following year. mcnabb is the eagles' leader in may passing categories, including attempts,746), completions,801), yards,873), and touchdowns. he led the team to 100 wins, including nine in the playoffs. his,469 career yards rushing ranks sixth on the nfl's all-time list.",1081
arts,"in music, creepiness is construct, almost totally in the ear of the listener. but a pair of shows on halloween night in brooklyn seemed, from a distance, as if they might be able to get beyond the usual camp-ghoul club nights — in which the audience turns up in costume and does most of the work — to achieve legitimate creepiness in and of themselves.both shows were slow, heavy and post-everything: evoking exhaustion and wonder, but also industrial decay, old factories by the river, rusted objects of great weight and unknown use. one group was the body, the metal-ish band from providence, r.i., at saint vitus, in greenpoint. the other was raime, the electronic music group from london, at the dance club output, in williamsburg.the body's recent records — especially the new ""christs, redeemers"" (thrill jockey ) — have gained gravity with the addition of a choir and strings; the band puts serene and spiritual voices and harmonies alongside its own rugged blasting from guitar, drums and voice. but the body's performances generally don't have the benefit of that contrast. at saint vitus on thursday, it was just the meaty, bearded band: chip king on guitar and vocals, and lee buford on drums, with the addition of a second drummer, seth manchester, and found-sound samples: speeches, rants, flotsam from an agitated culture.and something strange happened here. it's almost a natural law that two skilled drummers, playing strong in general tandem at medium tempos, sound good together — i mean good as in energizing, nourishing, sustaining. as go the allman brothers, so goes the body. all it took was mr. manchester following mr. buford's patterns, and suddenly the body was more than creepy: it was groovy, despite everything.what is everything? the music's obdurate vibe; the triple-layered distortion and bright slashes of feedback from the guitar, rendering harmony almost unintelligible; and mr. king's trademark vocal strategy. he is the rare singer who might request of the sound man, as he did on thursday, that his vocals be lower in the mix; then he positions the microphone at collarbone level and at least a foot away, and screams to be vaguely audible. it's different from the kind of singing that takes the audience into its confidence. it's singing that suggests that the singer has been abducted and held captive behind a wall.that's creepy, and their videos and press photos are creepier still, but the guys from the body are also kind of japing performance artists. at the end, after a headlining set that lasted maybe 40 minutes, the band members abruptly cued up a mellowly anodyne version of ""suicide is painless,"" from the film soundtrack to ""m.a.s.h.,"" over the p.a. system and, without skipping a beat, started packing up their gear.raime's music, as heard on its record from last year, ""quarter turns over a living line"" (blackest ever black, is echoey and resonant, extremely careful but strangely paced; it uses sounds suggesting cello and drums and guitar, as well as purely synthetic sources. there's a lot of waiting but also a lot of payoff; it's leaking drama all over the place, from beginning to end.unsurprisingly, the musicians behind it — tom halstead and joe andrews — care about visuals, too. thursday's set at output was raime's first performance in new york with a visual element: superslow-motion vignettes, apparently shot in a former portuguese ironworks, by the london-based dakus films .and this coherent, deeply centered set, dripped out in tempos and impact sometimes comparable to the body's, also yielded something beyond creepiness: beauty. the visuals accompanied the dread and almost symphonic gorgeousness in the music, some of it taken from ""quarter turns: you were never quite sure what you were seeing, but it involved blue-gray early-morning light by the water, blurry views of fire, a man covered in white dust.the enveloping sound system in the club allowed you to hear the music vividly, with focus and depth, as it moved along slowly and inexorably — every high-hat sound, menacing crackle and cloud of bass. and during a good stretch of it, many of the audience members — costumed and ready to dance — stood in place as the sound and film unfolded, as if they'd forgotten where they were and what day it was.",697
politics,"columbus, ohio — acknowledging that commencement addresses are no place for partisanship, president obama nonetheless skirted close to that political line on sunday, telling graduates at ohio state university to ignore antigovernment voices that ""gum up the works"" and instead aspire to be citizens who value both individual rights and community responsibilities.""unfortunately, you've grown up hearing voices that incessantly warn of government as nothing more than some separate, sinister entity that's at the root of all our problems,"" mr. obama told the crowd at the ohio state commencement ceremony. ""some of these same voices also do their best to gum up the works; they'll warn that tyranny is always lurking just around the corner. you should reject these voices."" ohio state graduates, their families and friends — almost,000 people in all — turned the university's huge football stadium into a sea of red and gray, the university's colors. mr. obama noted that it was his fifth visit to the campus in the past year, reflecting the importance of ohio and young voters to his re- election in november.but this was the president's first trip here in his young second term, which has already faced setbacks in congress over the budget and legislation to reduce gun violence and is now confronting the escalating violence in the middle east and a push to overcome republican opposition to an overhaul of immigration law that would provide a path to citizenship to about 11 million people who are in the country illegally .mr. obama will make another trip outside washington this week, this time to austin, tex., to press for long-blocked initiatives supporting infrastructure projects, education and a higher minimum wage . but in the commencement speech on sunday, the first of three that he plans to give during graduation season, mr. obama mostly steered clear of those subjects and others that he and republicans are fighting over. his address was both a pitch for good citizenship and an optimistic message as the economy recovers from the most serious recession since the great depression .""while things are still hard for a lot of people, you have every reason to believe that your future is bright,"" mr. obama said. ""you're graduating into an economy and a job market that is steadily healing.""the president described the graduates' generation as having a ""sense of service"" that ""makes me optimistic for our future."" ohio state's class of, he noted, included military veterans, volunteers for the peace corps and teach for america, and entrepreneurs who are already running start-up companies .their lives, he said, started as the cold war was ending and the internet age was beginning, and they came of age as the terrorist attacks of sept. 11, wars, recession and technological advances transformed america.""you've been tested and you've been tempered by events that your parents and i never imagined we'd see when we sat where you sit,"" he said. ""and yet despite all this, or perhaps because of it, yours has become a generation possessed with that most american of ideas — that people who love their country can change it for the better.""citizenship, he said, is sometimes seen ""as a virtue from another time, a distant past — one that's slipping from a society that celebrates individual ambition above all else, a society awash in instant technology that empowers us to leverage our skills and talents like never before, but just as easily allows us to retreat from the world. and the result is that we sometimes forget the larger bonds we share as one american family.""mr. obama urged the graduates to find not just a career but a cause for the greater good. perhaps, he said, they might even run for public office.""i promise you, it will give you a tough skin. i know a little bit about this,"" he said. ""president wilson once said, 'if you want to make enemies, try to change something.'",1908
business,"washington — boeing acknowledged on tuesday that its original tests of the lithium-ion batteries on its 787 planes underestimated the risks of fire, though it defended its previous assessment that such a hazard was extremely unlikely.at the start of a two-day hearing held by the national transportation safety board, boeing's chief engineer on the, mike sinnett, said the calculation that a battery would fail only once every 10 million flight hours applied to the design of the battery and did not include possible manufacturing flaws. the testimony seemed to point to gs yuasa, the japanese manufacturer of the battery .the purpose of the safety board's hearing was to determine how boeing and the federal aviation administration — despite years of careful work — could have missed the potential for catastrophic failure when the battery was initially certified in. but the broader focus was how the plane's manufacturers and regulators can cope with rapid changes in technology that may outstrip their ability to predict problems. the 787 is the first major commercial airplane to make extensive use of lithium-ion batteries .the safety board is investigating the fire on jan. 7 in a japan airlines 787 parked at a gate at boston's logan airport. a second incident, involving a similar battery on an all nippon airways plane on a japanese domestic flight, led to the grounding of all 50 of the planes boeing has so far delivered.""we are here to understand why the 787 experienced unexpected battery failures following a design program led by one of the world's leading manufacturers and a certification process that is well-respected throughout the international aviation community,"" deborah a. p. hersman, the board's chairwoman, said.mr. sinnett said the failure calculation was based on data provided by gs yuasa . ""that value essentially is reached by experience with similar type cells,"" he said. "" gs yuasa had experience with over,000 cells of similar makeup. they had millions upon millions of those cells without any cell venting.""one of the tests consisted of driving a nail into a battery cell to provoke a short circuit . while the cell failed, the test did not result in a fire. but under repeated questioning, mr. sinnett acknowledged that the nail test had been inadequate and was not ""conservative enough."" boeing, he said, found that the batteries could catch fire only if they were overcharged.the boeing executive was pressed to say whether the company stood by its original risk estimate . he declined to do that until investigators could determine the cause of the two battery failures. ms. hersman did not seem satisfied with the answer. at one point she said, ""there is some obfuscation here.""during questioning, mr. sinnett gave a narrower definition of boeing's risk estimate than the company had in the past. ""that once in 10 million flight hours doesn't apply to things like abuse of the battery,"" he said. ""it doesn't necessarily apply to a nonconforming battery, meaning a battery that was not built for the type design. so there are other things that can cause the failure of a battery that don't contribute to that one in 10 million hours.""later in the day, representatives of gs yuasa responded by describing their intensive testing of the batteries and their long experience in making similar cells.boeing used a large number of subcontractors for the 787s. it picked a french company, thales, to provide the 787's power conversion system. thales, in turn, chose gs yuasa to build the lithium-ion batteries for the planes. but a gs yuasa executive made clear during the hearing that both boeing and thales were involved in all of its testing and design phases."" gs yuasa provided designs, and thales and boeing reviewed them and sometimes made suggestions and approved them,"" said takahiro shizuki, the manager of large-scale batteries at gs yuasa .the f.a.a. last week approved boeing's plans to fix the plane's lithium-ion batteries, an important step in lifting the grounding of the 787s in the united states . after the grounding of the fleet, boeing made several changes to its original battery design. these fixes include adding better insulation between the batteries' eight cells and building a stainless steel box that will encase the batteries and contain any fire and vent possible smoke or hazardous gases out of the planes.""there is still more work to be done in the investigation,"" ms. hersman said.boeing told the f.a.a. it planned to use lithium-ion batteries on its 787 in. because airplane regulations at the time did not cover such batteries, the f.a.a. in 2007 approved boeing's use under nine special conditions that covered the need to contain or vent any hazardous materials .mr. sinnett defended the plane maker's choice of lithium-ion batteries, saying at the hearing that the 787's certification by regulators took,000 hours and was the most ""extensive in our company's history."" he added that the battery's certification was ""very rigorous and subject to close scrutiny by the f.a.a.""yet the fire in boston also showed something that the regulators and the company did not expect: that a flaw, possibly no larger than a grain of sand, in a single cell could set off a chain reaction that would cause smoke or fire in adjacent cells.""we were focused on the hazards of the battery,"" said ali bahrami, a senior f.a.a. official in charge of the 787 certification. ""we knew the hazards were always there. the awareness was always there. we did the best we could under the circumstances, and the knowledge that existed then, to come up with standards that address the requirements for this particular battery .""steve boyd, another f.a.a. senior official, said: ""you have to look at the special conditions as a comprehensive and mutually supportive requirement intended not only to reduce the probability of a thermal event but to mitigate the effects of any of those failures if they occur.""it is the second public hearing by the safety board on lithium batteries . on april 11 and, the board held a two-day forum focused mostly on the batteries as cargo and components in devices carried by passengers.",1919
sports,"indian trail, n.c. — the long island mansion that rick dipietro bought in the heyday of his career with the islanders is on the market . these days, he is downsizing. home, for now, is a room at a residence inn in suburban charlotte, n.c., a place where hockey is about as popular as surfing in winnipeg .dipietro, the former franchise goalie for the islanders, signed a 25-game contract with the charlotte checkers of the american hockey league in late october. far from the focus of the news media and the intense criticism from fans, dipietro hopes to begin resurrecting a career that once made him an n.h.l. all-star and an olympian.""out of sight, out of mind sometimes isn't a bad thing,"" dipietro, 32, said after a recent practice. ""i definitely appreciate the fact that i'm kind of under the radar here.""with the islanders, dipietro never matched the expectations that came with a 15-year, $67.5 million contract he signed in. a series of hip, knee and head injuries limited dipietro to 50 games in his final five seasons before the islanders sent him to bridgeport of the a.h.l. in february. they bought out his contract in july at.5 million a year through.dipietro, the no. 1 overall pick in 2000 out of boston university, could have walked away from hockey a rich man. instead, he spent the summer and fall working out with a goalie coach in connecticut and a trainer in toronto, driving back and forth while waiting for the phone to ring.""i don't think i could go to sleep at night not knowing that i gave it one last try to see what i could do,"" he said.dipietro finally got his shot when injuries last month left the carolina hurricanes short-handed in goal. carolina general manager jim rutherford signed dipietro for the checkers, his team's a.h.l. affiliate.""there's been some really dark, tough, trying times,"" said dipietro, who credits his wife, cassandra, and renewed faith for helping him through the lows. although he said jokingly last season that he had thought about driving off the throgs neck bridge, dipietro dismisses reports that he seriously considered suicide.a humble dipietro has worked to fit in with his charlotte teammates, earning praise from checkers coach jeff daniels for his attitude and approach. dipietro is trying not to look too far ahead. or back.the checkers were recently in toronto to play the marlies at the same time the islanders were there to play the maple leafs . the teams stayed at the same hotel . dipietro kept his distance.""i've talked to a bunch of them on the phone and text messages,"" he said of his former teammates, ""but it might have been a little bit hard for me maybe, at this point. i don't know if it's all actually sunk in yet. i always thought i'd end up with one team the rest of my career, retired, be a part of the organization, all that kind of stuff you dream about when you sign a deal like that. but it didn't work out. kind of move on.""still, dipietro has had a difficult start with charlotte . he is 0-4 with a.18 goals-against average and an.846 save percentage in his first five games, including a 4-3 loss to the rockford icehogs on sunday in which he made 26 saves. on a recent night, when rutherford went to a mostly empty time warner cable arena to watch him play, dipietro allowed five goals on 15 shots against the hershey bears and was pulled midway through the second period of a 5-3 loss.""he doesn't have his confidence now,"" said rutherford, a former n.h.l. goalie. ""that position, more than any other position in hockey, it's important to have your confidence, and so he's probably thinking too much while the game's on, which isn't a good thing.""dipietro conceded that it had been tough.""i came here having not practiced with a professional team or really organized practices at all, and having new equipment and new skates and everything else and then just jumping into a game probably wasn't the best thing to do,"" he said. ""but at the end of the day, games are the only way you can really get that exposure to what you need to try to get sharp.""but dipietro may be running out of time. the hurricanes' starting goalie, cam ward, is back from a groin injury . although ward's backup, anton khudobin, remains out, the third-string goalie, justin peters, has played well. the hurricanes and the checkers have six goalies between them. rutherford said a move would most likely be made this week.""best- case scenario for him was he came in immediately and played well and justin peters didn't play well,"" rutherford said of dipietro. ""but it didn't work that way. justin peters played extremely well, and rick didn't get back to the level that we would have expected him to in a short period of time.""will charlotte be dipietro's last stop? he does not know and is not looking that far ahead. but in the end, he may not be the one who makes that call.""it's something every athlete struggles with — when's the right time,"" he said. ""i don't know if i'll ever know when the right time is. i said it to my wife the other day: i'd rather someone just tell me when the time is. i know it's tough to make that decision on your own.""",1021
arts,"in search of some live brazilian music a few months ago, i found my way to dizzy's club coca-cola, in the time warner center, where the brazilian percussionist duduka da fonseca was leading a quintet. i can't say i knew much about mr. da fonseca before i heard his band that night, and among the things i didn't know was that his quintet's regular reed player was a 38-year-old israeli woman named anat cohen, who has lived in new york since.on the first few tunes of the set — mostly the kind of fast-paced, brazilian-tinged jazz i've always loved — ms. cohen played the reed instrument most closely associated with postwar jazz: the tenor saxophone. it was immediately apparent that she was a terrific musician, fluid, full-throated, with a knack for creating beautifully crafted, even eloquent solos. around the fifth song, however, the quintet began playing ""chorinho pra ele,"" a simple, infectious samba by hermeto pascoal, the great brazilian multi-instrumentalist. and that's when ms. cohen did something you rarely see a jazz reed player do these days. she took out her clarinet.as good as her saxophone playing was, ms. cohen on the clarinet was a revelation. using the clarinet's upper register, she could evoke infectious joy. in the lower register, her playing could conjure a deep, soulful melancholy. on up-tempo numbers, her improvisations weren't just bebop fast; they had a clarity and deep intelligence that is really quite rare. she made it look effortless, even as she was playing the most technically difficult of all the reed instruments. she only played a handful of songs on the clarinet that night, but every time she did, she took my breath away.i suppose i could say that i'd never heard anyone play the clarinet quite like that, which would be true enough. (as i later learned, she's been the jazz journalists association's clarinetist of the year for the last six years.) but let's be honest here: like many jazz fans, i have rarely heard anyone play live jazz clarinet.a dominant instrument in jazz's early years, the clarinet faded into obscurity as the saxophone became the reed instrument of choice once charlie parker and his alto sax helped birth the bebop movement. when you think of jazz clarinetists, only a handful of names spring to mind, including benny goodman and artie shaw, whose heyday was the 1930s, and woody allen, whose playing will never cause anyone to forget that he makes his living as a filmmaker.watching ms. cohen that night, i thought of another clarinet player: myself. all through grade school, i took lessons, but in high school, as i became captivated by jazz, i tossed the clarinet aside and took up the saxophone and flute. in the little high school group i played in, i don't think i ever once trotted out my clarinet. in high school jam sessions, every reed player was a saxophonist. the clarinet was just, well, uncool. (""highly mediocre"" would be a generous way to describe my playing.)i could imagine ms. cohen having those same feelings as a teenager. i could picture her abandoning her clarinet in favor of the hipper, harder-edge tenor sax. what i wound up wondering was what led ms. cohen back to the clarinet? and what did her re-embrace of it say not only about her, but about the clarinet's potential to become a mainstream jazz instrument again?""i wanted to be john coltrane,"" ms. cohen said with a laugh a few days later, when we met in her small east village office. the second of three children, ms. cohen grew up surrounded by music; her brothers were also aspiring jazz musicians . (indeed, all three cohens are musicians today: older brother, yuval, plays the soprano saxophone, while younger brother, avishai, is a trumpeter. they often play together as the 3 cohens.) by the time they were in their early teens, the cohens were all enrolled in a music conservatory in tel aviv .ms. cohen took up the clarinet because the conservatory needed clarinet players, and she was amenable. the instrument fit well with her first introduction to jazz: the conservatory's dixieland band, which she joined. ""i discovered that i loved the music of new orleans,"" she said. the clarinet, of course, was an important instrument in early new orleans jazz.but as her tastes broadened, ms. cohen fell under the sway of coltrane, the great 1960s tenor saxophonist. in high school, a teacher told her that her clarinet really didn't fit with the modern jazz she liked. ""i kind of put a cap on my clarinet without really thinking about it,"" she recalled.by the time she enrolled in berklee college of music in boston in, she was a committed tenor saxophonist, wanting nothing so much as to emulate the ""sheets of sound"" that coltrane made so famous.at berklee, she occasionally picked up the clarinet — ""whenever they needed a clarinet player, they called me"" — and remembers one of her professors telling her that she ""really had a sound on the clarinet."" but she let the remark pass. by, she had moved to new york, and was making her way as a professional musician. she was the tenor saxophonist in an all-female jazz ensemble called the diva jazz orchestra. her friend, the brazilian saxophonist daniela spielmann, recalled that when she first met ms. cohen, ""all she ever played was the saxophone.""",1716
