text,id,label
"i need the name of a music artist.? lyrics to his song include...\n""don't push me.\ni am close to the edge.\ntrying not to lose my head.""\n\ncan someone tell me the name of the\nperson that sings that please? grandmaster flash!",train1038795,entertainment
"how was genetically modified food developed? by whom and when? monsanto the chemical manufacturer (makes roundup) is # 1 in developing gmos. there are a lot of websites to look at but i recommend www.organicconsumers.org or www.slowfood.com . i am a chef who uses organic foods to produce healthy gourmet products and learned alot just trying to shop for non-gmo foods. we owe it to ourselves not to purchase foods from grocers and restaurants that are gmos. i'll bet they do not even know what there products are made from. patronize farmers markets, natural food stores etc. that provide you with healthy foods. you will be amazed at how delicious real food is.",train206587,business
"for a million dollars would you...? a) get dragged by wild horses.\n\nb) wash the windows of the tallest skyscraper.\n\nc) dive into a swimming pool full of cockroaches, maggets, non-venomous snakes,spiders, ants, leaches.\n\nd) be the first person to travel to venus and pray you can get back.\n\ne) go without food for 1 week, only water. (it said that man can survive on water for two weeks before death) a)  no not even for a billion thanks\n\nb)  if right safety equipment then sure because i've got a head for heights but i like my life too, so safety first! :-)\n\nc)  heck no not even for 100 billion! not for all the money in the world!\n\nd)  i'd do this for free! always wished i could have been an astronaut. getting back? well that's the risk you take isn't it. there's a risk to anything worth while.\n\ne)  i would definately do this one for charity, the money i'd make i.e. the million dollars, for fasting for one week i would give to charities so that those people that do not eat for a week in this world because they have no choice, can eat - grow their own crops - sustain their families and not have to die of diseases and starvation!\n\nloved your question, made me laugh for most part - very whacky - and also gave 'food for thought' as they say.\n\n:-)\n\nhannah",train477534,education
"marines wrongly accused! how do i get my story published in a news paper? hello. \ni think you heard about 7 marines that are getting charged with murder for just simply protecting their lives. i know 2 of those 7 marines very well i served with them together and i know they will not do anything, anything illegal. i want to get my story published, but how do i do that? i tried to find directions online, but couldn’t do it.\nplease help me. write a letter to the editor of a major paper.",train1302086,politics
bored at work...? my job can hardly keep me busy with work.  what should i do to pass the time....i'm in a cubicle and you know what office rules are like www.bored.com,train631968,business
"can you freeze a hockey puck and if so how does it affect the distance it will go or its performance in gneral the nhl keeps a large supply of pucks in a freezer next to the rink.  many people believe they do this to increase the performance of the puck, but it actually reduces it.\n\na puck at room temperature has more stored (potential) energy than a frozen puck.  when a warm puck is shot off the boards it would act like a tennis ball and just bounce everywhere.  a puck with less potential energy stays down on the ice where it is easier to control and shoot.\n\nyou can try this at home.... take a baseball (or puck) and place it in the freezer for a few hours.  now take a similar baseball and leave it on the counter next to the freezer (this is to remind yourself that you have one in the freezer so your friend doesn't come over and think you've gone crazy).  now take them both to a level piece of cement, hold them out evenly at shoulder height, and drop.  the warmer one bounces more... this is what the nhl is trying to avoid.",train582121,sports
"i need help to open my feelings for my girlfriend in order to get to the next level? i have been divorced, her as well. when our marriges ended we both told ourselfs ""never again"". my divorce was 6 or 7 years ago hers was 2. we have both know each other since high school but never dated. i recently returned from a 3 week vacation to florida and that is when i realised how i truely feel about her. however i can't seem to get or find the right words to truely tell her how diferant she is from the rest. i have never had a problem in telling someone what i knew they needed to hear, until now. i believe the reason was simple the feeling were not real they were tools i used to get my way or to stop the person from getting to me. now that i need to say the right words and take the chance again i cannot find them. please if you know where i may find the insperation to get out my feelings for her please point me in the direction. here's the key you are looking for. speak from the heart, it's never wrong. she will feel every word.\ntell her all you could think of when on vacation was her. nothing on the beach even interested you, all you wished was with you was her.\n\nhere is a book i found and read, it will help make your point clear and easy. have fun.\n\ngood luck.",train301114,relationship
"ive always been more attracted to older men.  anyone else feel the same or is it just me? i'm not talkin coffin dodgers here.  it's a mid thirties to mid forties thing (but they've got to be in good nick, no beer bellies or bald patches) yes i've always been exactly the same.  i've really no interest in guys my own age, and i've always been like this even since when i was at school.  don't really know why though but it's not a problem at all.  plus as the saying goes, there's many a good tune can be played on an old fiddle.....  i'm 29 and seeing a guy of 51 who is the sexiest guy i've ever met in my life and is well fit (and looks about 35).  good luck!",train533829,relationship
"why should the european union bring in new member states? any references to books or journals would be helpful. thanks. economic and political integration between the member states of the european union means that these countries have to take joint decisions on many matters. so they have developed common policies in a very wide range of fields - from agriculture to culture, from consumer affairs to competition, from the environment and energy to transport and trade.it took some time for the member states to remove all the barriers to trade between them and to turn their 'common market' into a genuine single market in which goods, services, people and capital could move around freely.(europa.eu.int) as u can see with that policy eu maintain the common market and free economy which is the basic source of european economy and havin initial importance. also they aim to create a collctive movement to ensure the stability(also u can think it as domination) in world politics. and these aims can only be sustainable with bringing new member states...u can directly look at eu documents...",train298802,politics
"who is the better team, the cleveland browns, or the cincinnati bengals?? the bengals - duh!",train666949,sports
