id,text
train1388245,"question : what is this document about? 
 answer : society 
 context : how to write  e accent grave, aigue,circonflexe using keyboard? this may be useful:\n\nalt + 160 = á\nalt + 130 = é\nalt + 161 = í\nalt + 162 = ó\nalt + 163 = ú\nalt + 164 = ñ\nalt + 165 = ñ\nalt + 129 = ü 
"
train226794,"question : what is this document about? 
 answer : society 
 context : which verse in the bible that helps to calm? will help to calm the scared person who faces the disease that destroys their health and to gain their faith in jesus for his promises? ""don't worry about anything; instead, pray about everything.  tell god what you need, and thank him for all he has done.  if you do this, you will experience god's peace, which is far more wonderful than the human mind can understand.  his peace will guard your hearts and minds as you live in christ jesus.""\n\nphilippians 4:6-7 
"
train1382801,"question : what is this document about? 
 answer : science 
 context : is anyone familiar with pine bush, ny being the 3rd hot spot in the world for ufo sightings? if you have any stories related to pine bush, please share them here. thanks! ohh and btw, don't tell me ufos don't exist. i've seen them, so you can't convince me otherwise. i did not know this but thanks for telling me. 
"
train597862,"question : what is this document about? 
 answer : entertainment 
 context : how old is maddona???????? alot of people think she is 50. but someone els thiks she is 94!!!!!!!!!! she's 47 now.  will be 48 on august 16.  she was born in 1958. 
"
train1386749,"question : what is this document about? 
 answer : politics 
 context : is there an extra rush to cross the border before ? are more hoping to get amnesty? do the people know it might be tougher soon, so some are in a hurry to come across before it does?\njust wondering- i saw some accounts saying that was the case a couple of weeks back. people picked up said they were 'coming for the amnesty' and knew the guard was going to the border.  however, there will probably be some diminishing effect when the border patrol is really there, until they figure their next move.\n\nmeanwhile, i read in another article that coyote fees have gone up by 50%. 
"
train1330303,"question : what is this document about? 
 answer : sports 
 context : how can i watch the world cup 4 free online? this is all i've found to try watching online:\nhttp://www.chiff.com/recreation/sports/world-cup-2006.htm\nworld cup on the web\n-online, espn360 (http://broadband.espn.go.com/broadband/ebb2/web/shellmain )  will simulcast every match of the 2006 fifa world cup that is televised on espn and espn2 from friday, june 9 through sunday, july 9. also featured will be a live webcast program, including pre-match, halftime and post-match segments, along with exclusive interviews with players, coaches and analysts. limited web providers\n-bbc will also provide live streaming video for selected games at bbc sports(http://news.bbc.co.uk/sport2/hi/football/world_cup_2006/default.stm )  along with four-minute highlight packages from every single game of the tournament on demand.\n-ndtv is an indian site that's also webcasting (http://www.ndtv.com/sports/fifa/default.asp  and  http://www.ndtv.com/ndtvvideo/default.asp  )\n\nhttp://fifaworldcup.yahoo.com/06/en/\nhttp://soccernet.espn.go.com/section?id=worldcup&cc=5901\n\nhere's another one i just found out about:\nhttp://www.yagooya.com/ 
"
train595859,"question : what is this document about? 
 answer : computer 
 context : will i be prepared for ccnp certification with ""only"" school-based learning? as a follow-up question, i currently work broadband internet tech support, but not really networking, so i have no practical skills. when i take the 2-yr. course toward ccnp certification at my local college (including a+ and ccna cert. thrown in), should i be ready to take the ccnp test (though i have no real-world experience in the field)? i hear a lot about experience, but i won't be able to get that before testing. <anxiously awaiting a favorable reply> almost.  you will want to take as many practice tests before hand to sharpen your knowledge.  i shutter to think about two years on one certification though. 
"
train1300072,"question : what is this document about? 
 answer : computer 
 context : how do i get my regular yahoo back and take the voice one out? call yahoo hotline 
"
train157369,"question : what is this document about? 
 answer : entertainment 
 context : who is the murderer? police arrested four people as for enquiring in case of murder, suppose u were detective and u have to solve this case and find out the murderer out of those four people. now u asked first that what he saw? he said i saw the sofa lying on the bed. u say okk, then he asked the same question to next person he replied that he saw the window is open and door is closed, then the detective asked the same que to the next person he said i saw a pen lying between the  page 3 and 4 of a book, detective said ok, then same que the detective asked to the last person the person said i saw a the mirror was broken. detective then got the murderer. \nnow could you tell who is the murderer first person, second third or fourth. well, at least the third person wasn't telling the truth, since (usually) pages 3 and 4 are printed on the different sides of the same page and thus there can't be a pen between them. i'm still not sure if that makes him a murderer though. 
"
train199700,"question : what is this document about? 
 answer : relationship 
 context : why do womens nipples change size? arousement!!! 
"
train722890,"question : what is this document about? 
 answer : entertainment 
 context : favorite anime/manga/cartoon/comic strip...? list all ur favorite anime or manga. mine are-\nnaruto\nfullmetal alchemist\ntrigun\ngarfield\nsimpsons\n\n\ntry to limit urself to no more than 10 plz mine are- garfield, the simpsons,the ring manga book, naruto, pokemon, yu-gi-oh!, one piece, samurai champloo, samurai x(rurouni kenshin), ghost in the shell-complete complex and more...\n\nmy friend likes steel angel kurumi hard out to the max though i really hate the anime because steel angel kurumi sucks. 
"
train257037,"question : what is this document about? 
 answer : business 
 context : how can i deal with a coworker who throws temper tantrums and throws things??? i hope it is not your boss doing that. i once had a boss who would come into my closet, i mean office, and close the door, then proceed to rant and rave at me and tear my files apart and throw everything around, leaving a huge mess for me to clean up. i was scared to death of him.  that job lasted three months before i left, but it seemed like three years.\nif it is a co-worker on the same or a lower level than you, can you go to your supervisor? that is not a good working environment, and could even be harmful to your health, mental and physical.  until that person either receives the therapy so obviously needed, try to avoid confrontations, and see if you can get transferred to another area, or have your hours changed so you don't work the same shift as the nutcase.  good luck with all that.  take care of you and your safety first. 
"
train129665,"question : what is this document about? 
 answer : computer 
 context : can you define the following? boot\nclipboard\nbyte\napplication\ndata boot: the process of starting or restarting a computer\n\nclipboard: a file or an area in memory where cut or copied text and graphics can be temporarily stored before being moved to another location\n\nbyte: a sequence of adjacent bits, usually eight, operated on as a unit by a computer.\n\napplication: a computer program with a user interface\n\ndata: numerical or other information represented in a form suitable for processing by computer. 
"
