label,text,id
1,"Just to let you know, the owner of the restaurant contacted me after she read my review and told me I complain too much.",459224
5,"We came to this tapas and wine bar after having visited there on the Tour de Food Uptown.  We shared rabbit pot pie that was succulent and flavorful.  There was a sweetness to the dish that was intriguing.  The vegetables retained some texture and added a pleasing crunch.  Our next dish was lamb bahn mi sliders.  These were outstanding on crisp toasted bread, soft on the inside.  Flavorful toppings made it very tasty. The crab cakes allowed the crab to be the star, but added enough garnish to make it unique.  Finally we shared the red neck wedding cake which was outstanding.  The spicy nuts made the dish very interesting instead of just a good chocolate care with cheerwine(!) icing.  They are not afraid to go bold in this restaurant and it succeeds.  I hope they get more business so that they stay around!",425079
3,"My 8 yr old daughter really wanted to eat at Rainforest after passing by it dozens of times during our many trips to Vegas. We were seated right away but it took 10 minutes for our waiter to notice we were there. He was very nice. Lance, I think. \n\nThe prices are pretty high. Kids meals are $10 each. Yikes. My daughter ordered popcorn shrimp and fries that were pretty decent. I ordered the quesadilla appetizer (because I refuse to pay $16 to $19 for pasta or a burger). It was pretty good but I would have liked the salsa or part of it to be a little spicier. \n\nOh, and another LV restaurant with $4 sodas.  Also, my feet literally stuck to the floor under my table. Yuck. My daughter really enjoyed looking around at all the animals and thought the thunderstorm was pretty cool. \n\nOverall, not a bad experience. I don't think I'll go back, but I won't totally count it out.",137462
4,"Despite the location in south Scottsdale, Avalon is just a really classy place that has a lot to offer. The dining experience is fabulous. The food is delicious. The atmosphere is top-notch. The music is transcendent - very hypnotic. The vibe is cool. The decor is first-class, upscale NY/LAish. The service is more than decent. They have brunch on weekends, live music and cooking classes. I highly recommend Avalon. It is worth checking out. Say hello to Dominick. Thinking about a company party or group celebration. This is the spot.",366749
4,"So I work as a merchandiser and  I dislike WalMart from a consumer point of view. Of course the karma Gods of merchandising assigned me to a WalMart account (not this one, another one). I only buy something at WalMart because I was already there servicing my account but I'm not one to plan to come to shop for groceries or household needs unless it's late at night since that's all there is. \n\nWhy am I giving 4 stars to a place that I generally dislike? \n\nThis store is the only WalMart to have random clearance blowouts for $1 for their clothing items.  This is the account my mother in law is assigned to and she happened to be there finishing up her account when she saw them wheel out the racks. She got 8 items for me for $8. I have to admit that the dresses are actually pretty cute! They have OP clothing which is just comfortable beachy wear and grabbed me 4 of their summer dresses. She got these tanks that are pretty decent and  I can be happy to have tanks I can use for my dirty work and not ruin nicer  outfit worthy ones.Really for $1 and it being Wal Mart I was expecting it to be a hodge podge of their leftover, terrible design ideas- old lady designs. OP, Susie Rose, Miley/Max Azria stuff isn't bad. I wouldn't go out of my way to shop these brands, but for hella clearance, hey, I'll take a look. \n\nSo there a little WalMart secret- this is the only one that announces out the $1. Some of the others mark them down at the register but dont announce it. Some don't do it at all. It's kinda at random though, I don't think there's a scheduled time and date it happens except it seems like it's on Fridays. \n\nAdded a pic of one of the $1 dresses.",472293
1,"We went today, June 22, 2014 which is a Sunday at 1:00pm. We expected it to be busy at this time on a Sunday but it was pretty bare. \n\nThe hostesses didn't seem to know what they were doing. One of them sat my family (my husband and our 4 year old son) at a table and then we never heard from anybody again. 15 minutes and not one person came to our table despite a couple (literally only two) servers looking our way and then walking away. We decided it wasn't worth it anymore and left. On our way out, we saw the manager up front with the hostesses and he didn't seem like he was doing much. Funny that he was up front with nobody to seat and not walking around in an almost empty restaurant to make sure that the tables that were there were being taken care of. \n\nThe hostesses and the manager said, \""Thanks for coming in!\"" without looking up at as. I glanced at all of them with a confused look and finally the girl that sat us looked right at me with an expression that said, \""Wait. I sat them just 15 minutes ago...???\""  \n\nThey need to get a better system going. Maybe have the hostess TELL the servers that they have people seated. Or maybe have the manager manage it all. Either way, I don't know what the food tastes like because we never got there.",316770
5,"Got my car wash there today. I've been going for three years now at least once every week, fantastic, best place in town bar none to get your car wash, I strongly recommend",465000
2,"Not sure why everyone is crazy about this place. chicken fingers tasted ordinary for me, sauce is forgettable, fries are soggy, and coleslaw is like the one in the supermarket. the only one i liked is the toasted bread. \nThough the store and location is great and neat.",449990
4,"**UPDATE**\n\nOkay, after staying at the Alladin/ Planet Hollywood I am going to beg Ballys to take us back!!!  I went back there my last day and everything was sunshine compared to the OTHER hotel. I will just have to be super sweet and bat my eyelashes and wink at the receptionist (whether guy or girl) and beg for the newer cleaner rooms next time we are there. My guy and I figured that the people at the OTHER HOTEL are so rude and arent ready to jump to keep you happy because they arent UNIONIZED. I am giving this hotel an upgrade to 4 stars. LUV YA BALLYS!!!! PS... They do have comfortable beds & room service is also good. \n\n\nThis is one of the worst hotels. If you are the new side the rooms are a bit better. But still not up to par. We go there at least 3 times a year because of business and it sucks that the organization can only use this place. Most of the time the check in people are rude.",451311
3,"Houston's has great food, generous drinks (glass wine list need desperate help though), and stuck up waiters.  It is that simple. \nFrench Dip   =5 stars\nSpinach dip = 5 stars \nRibs             =5 stars\nSea bass      =5 stars\nService         =2 stars. Would it kill them to smile?\n\nGet over yourselfs and be nice.  I bet I have eaten at this location at least a dozen times this year and I can't remember any server saying a simple Thank You for dinning with us from any of my servers.  \n\nAnd it is just this location... Coral Gables, Aventura, Palm Beach, 23rd & 5th in NYC, Hackensack ... All offer great service so let's get it together Scottsdale!!!",42519
