id,text
575714,"question : how is the service? 
 answer : bad 
 context : food is great but tue service was not. no one taking orders for almost 5 minutes and a huge line developed. when they finally came back only one person took orders. long wait for food. 
"
586984,"question : how is the service? 
 answer : bad 
 context : so i tried over easy for a third and final time. it's been a few years..and it's a different location. annnnd the fianc\u00e9 wanted to try it because he had never been. we both ordered mimosas. i had a pomegranate flavored and he had a bellini flavored. both came in glasses filled with ice, which was strange.. and both were soooooo sweet and sugary. they weren't what we expected but they had alcohol in them.. so we drank em. he ordered chicken and waffles and i ordered the benedict with biscuits and sausage instead of the traditional. his was ok.. the chicken was cooked well but very small portion. not a lot to it. my dish was not good. the biscuits were stale and crumbly. the sausage was for sure a frozen sausage patty warmed up and the \""hollandaise\"" sauce had no flavor at all. also, we were seated by one girl.. another one took our drink and food order. she never came back to the table. then, another waiter walked by and asked if we were good... we were but needed a check. so, he went and told our server who brought our check..and never came back. luckily, we paid with cash and just left. 
"
63284,"question : how is the service? 
 answer : fine 
 context : the problem that we had was with the service.  when we arrived, the first person we encountered was our server,who had a look of confusion when we 1st interacted with her, and her deer-in-the-headlights expression started to complement her performance as a server.  when we 1st arrived, we tell her that we are 2 and a baby... she glances around at some free tables and tells me that we need to wait.  we stand there for some time until the manager approaches us with a bit of a surprised look on his face and quickly sits us at one of the vacant tables that the girl glanced at.  i ask our server for a high chair for my son... i stand there for like 5 minutes until the manager approaches me and gets me one.  our food took long, the server never came to check on us, we never got any drinks refilled, and i had to hunt down the server for our check.  \n\ni want to make it clear that this place is not good to take kids to.  my son is actually great in restaurants.  my son doesn't throw tantrums, throw food, or run around.  he sits in his high chair, makes some noise (nothing crazy), and eats.  granted, there's gonna be some food on the floor, but that's the worst of it.  when the server saw the food on the floor... deer-in-headlights.  there was honestly about 1/2 cup of scattered noodles / rice on the floor.  she responded as though i took everything we ordered and threw it all over the restaurant!\n\ndon't get me wrong... the food here is excellent!  we saw many japanese couples around the restaurant eating, which was a huge sign to my wife and i that this place would most likely be authentic.  the quality and freshness of the food proved to be outstanding.  my wife and i are from san francisco and were used to frequenting japan-town for authentic japanese food and this place seemed  as authentic as what we are used to.\n\nquick conclusion: bad service, don't bring young children, authentic delicious japanese food 
"
568859,"question : how is the service? 
 answer : good 
 context : this is a nice place to grab a quick & healthy bite or drink after your workout at warrior fitness center.  it's one of the healthier choices on base.  it rarely gets too busy, so the seemingly small cafe has ample room to sit & eat.  prices are reasonable, and the menu is small but adequate.  they'd probably make more money by selling individual-sized servings of nutritional supplements instead of the whole container (catering to infrequent users, more budget-minded exercisers and people who just forgot to bring or take their nutrients before coming to the gym).  the staff is friendly and helpful; i haven't had a bad experience yet.  it's not the best fitness/gym cafe i've ever seen, but it's very clean, the staff are nice and the food/drinks are good. 
"
369725,"question : how is the service? 
 answer : bad 
 context : another big time fail from my yelp community!!\n\ncraving some serious breakfast after a long night of partying. i had already bookmarked this restaurant prior to my las vegas trip based on the stellar reviews. we ventured away from the strip to this restaurant located in an industrial area inside a small strip mall don't flinch you might miss it. \n\nmy wife and i arrived at 1pm., placed our name on the wait list, very friendly gentlemen greets us and tells us there is a 25min. wait. i says no problem. we were seated within the time frame, our waitress takes our order right away as we were starving. i usually stop at starbucks to get a coffee when eating at most breakfast spots as the coffee tends to be weak but i overlooked my instincts lazily and decided to try theirs. well unsurprisingly the coffee was super weak. as soon as i added creamer it turned milky instantly. my bad $2.50.\n\nfood/prices- i opted for the denver omelette with home fries and toast price was decent under $9. i asked the waitress if i can sub bacon for the ham that comes with the denver she said no problem.  our order took a little while to come out. the presentation looked great big portion for sure; better than it tasted. my omelette- total grease pit, they used tons of oil to cook it, plus the cheese stuffed inside was your poor quality cheese used at most la style burger joints that increased the greasiness further. first couple bites were very mushy eggs were not cooked that well, upon further inspection i also noticed very little bacon in my omelette so i began to open it up and noticed they didnt even cook the bacon at all prior to stuffing it in my omelette. the potatoes were the only thing that came out good they were hot and crispy. i couldnt finish it even though i was starving i did enjoy the potatoes but was very dissapointed. \n\nmy wife ordered the french toast special, served with eggs and bacons under $9. her eggs also cooked with tons of oil, bacon was good. the french toast that everyone raves about was weak yo. first of all it was served cold, next it had no flavor you couldnt add enough syrup to give it flavor. no moistness, no tastes of eggs or cinnamon ever touching the bread. maybe they dipped the texas toast in milk and pan fried not sure. was a total fail. \n\nwaitress came by asked us how our food was, i told her i was disappointed with the french toast coming out so cold. she opted to warm it up for us but by this time i was completely disillusioned with my meal. i decided to pay, leave and will not come back. \n\nprices are good; portions are big, service is good, however, i prefer quality over quantity food was not on point. sorry yelpers this was a fail dont do it! should have tried the breakfast spot at my hotel not worth the hassle of leaving the strip. 
"
60379,"question : how is the service? 
 answer : bad 
 context : this was the 3rd salon i tried out in vegas after diva's studio and limelight salon. i came in for a a cut only. the stylist i had was real nice, and at that time had 2 years experience for hair. i asked for a bob cut. i liked she used scissors to cut my thick asian hair. my hair was shorter than i wanted and i wasn't too impressed by how the bob turned out. i wasn't too thrilled i spent $55 for it either. \n\ni guess it's worth trying if my friends in the hospitality industry and at my government job were getting nice cuts here...just not for me. 
"
392173,"question : how is the service? 
 answer : bad 
 context : honestly, the only good about the buffet was the complimentary lobster and the all you can drink wine. i thought the food was below average for the price. i wont be going back! 
"
381570,"question : how is the service? 
 answer : fine 
 context : nothing special. seems to me this place is popular bc its something diferent in charlotte. i eat a lot of thai and this was not that great.  i had the curry.  the curry had taste but nothing special and the cashews seemed stale.  i wouldnt go back. i make it better at home. 
"
55665,"question : how is the service? 
 answer : awful 
 context : if i could choose no stars for this place i would. the only thing that was decent was the waitress. she was super sweet. \nfirst, i have never had fish and chips that was not edible. until now that is. the grease was literally pooled on my plate. even after soaking it up with a napkin it was swimming. i cut into it and the fish wasn't even cooked. gross\nmy friend ordered the pot roast. one bite and she was done. i think her words were something akin to \""dog food.\"" \nif this wasn't bad enough, we actually got charged for this crap. don't waste your time with this place. i certainly won't. 
"
361507,"question : how is the service? 
 answer : fine 
 context : our sunday ritual is pizza for lunch, so we decided to try this place we saw on yelp. we live 15 miles away, but the reviews made it sound like it was worth the trip.\n\nfrom the outside it is your classic hole in the wall place, in a main shopping center, with the front windows painted. the front had a mural of new york and the detail was pretty good, something i've never seen before.\n\nwe walk inside and it's a little dark, the menu board is clearly outdated with the numbers and letters tacked to a blackboard. there's an employee sitting at the table folding boxes right in the front, i found this kind of odd, couldn't he do it in the back? and as i walked around there's a ton of space in the back of the dining area that he could be folding boxes... he shouldn't have been in the front where the customers walk in the door.\n\nwe place our order but the front counter guy tells us to wait a minute while he answers the telephone. he should have taken our order first and put the call on hold as we were the only people in line.\n\nwe sat at nice clean booth and a few minutes later our garlic knots arrived. they were nice and hot and they even split them into two baskets for the mrs. and i. (that way i couldn't steal her extra ones).\n\nabout 30 minutes later hot pizza was delivered to our table. it was o.k. it was pretty greasy and the crust reminded me of peter piper pizza. not the best, not the worst, certainly not worth $25. \n\nthe bathrooms were pretty clean, however the entire place smelled like sanitizer.\n\ni'd probably come back, if i was in the area, and only for a slice and a drink, but we won't be making the 20 minute drive for it.\n\nnot sure why there are so many 5 star reviews, either people don't know there are many other better places for pizza, or maybe the owners have a lot of \""goombas\"" on the payroll to make the place look good. 
"
